 CH45_605,PL8,, ,Yersinia pestis Nairobi,AJK20863.1, ,  ,invalid,2,
 SMB_G0587 (fragment),PL9,, ,Clostridium acetobutylicum DSM 1731,AEI31318.1, ,  ,invalid,,
 DEO72_LG5g633,PL1,, ,Vigna unguiculata,QCD92566.1, ,  ,invalid,1,
 hyaluronate lyase (HyL),PL8,, ,Streptococcus pneumoniae SP036,AGI41269.1, ,  ,invalid,1,
 Dda3937_03551,PL1,, ,Dickeya dadantii 3937,ADM96804.1,E0SKU1,  ,invalid,8,
 M3B_1521,PL12,, ,Streptococcus pyogenes M3-b,BAU60886.1, ,  ,invalid,1,
 BSn5_15680,PL1,, ,Bacillus subtilis BSn5,ADV95744.1, ,  ,invalid,6,
 AT706_14700,PL26,, ,Bacillus subtilis subsp. subtilis BSD-2,ALS83113.1, ,  ,invalid,,
 AWOD_II_1137,PL38,, ,Aliivibrio wodanis,CED57752.1, ,  ,invalid,,
 BTO17_11470,PL1,, ,Polaribacter reichenbachii KCTC 23969,AUC20511.1, ,  ,invalid,2,
 B1H29_10935,PL8,, ,Streptomyces pactum ACT12,AQS71926.1, ,  ,invalid,,
 BCV50_08700,PL1,, ,Bacillus subtilis CW14,ARV45087.1, ,  ,invalid,6,
 EH204_19680,PL1,, ,Pectobacterium carotovorum subsp. carotovorum JR1.1,QHP59977.1, ,  ,invalid,3,
 C4K21_5965,PL7,, ,Pseudomonas chlororaphis subsp. aurantiaca 464,AZD44994.1, ,  ,invalid,1,
 SPH_0426,PL8,, ,Streptococcus pneumoniae Hungary19A-6,ACA36441.1,B1I936,  ,invalid,1,
 BSSX_0797,PL26,, ,Bacillus subtilis SX01705,ASK22714.1, ,  ,invalid,,
 IMCC26134_08910,PL11,, ,Verrucomicrobia bacterium IMCC26134,AKC82864.1, ,  ,invalid,1,
 FA024_16015,PL3,, ,Bacillus subtilis NRS 231,QCJ18536.1, ,  ,invalid,1,
 BXY_32000,PL1,, ,Bacteroides xylanisolvens XB1A,CBK68207.1,D6D1A5,  ,invalid,2,
 ACTI_06040,PL3,, ,Actinoplanes sp. OR16,BBH63919.1, ,  ,invalid,4,
 BI316_17350,PL1,, ,Xanthomonas citri pv. citri LH276,APR21028.1, ,  ,invalid,,
 CN228_06185,PL5,, ,Pseudomonas syringae pv. actinidiae str. Shaanxi_M228,AYL79569.1, ,  ,invalid,1,
 Mar181_0103,PL1,, ,Marinomonas posidonica IVIA-Po-181,AEF53172.1, ,  ,invalid,,
 K210_04240 (fragment),PL12,, ,Erysipelothrix rhusiopathiae SY1027,AGN24453.1, ,  ,invalid,1,
